id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
SE;Sudeste/Centro-Oeste;2025-04-01;49972.799625
SE;Sudeste/Centro-Oeste;2025-04-02;50439.638125
SE;Sudeste/Centro-Oeste;2025-04-03;51374.09170833
SE;Sudeste/Centro-Oeste;2025-04-04;50225.32808333
SE;Sudeste/Centro-Oeste;2025-04-05;42676.30391667
SE;Sudeste/Centro-Oeste;2025-04-06;37781.03958333
SE;Sudeste/Centro-Oeste;2025-04-07;43655.10104167
SE;Sudeste/Centro-Oeste;2025-04-08;45054.58695833
SE;Sudeste/Centro-Oeste;2025-04-09;46934.49116667
SE;Sudeste/Centro-Oeste;2025-04-10;46582.12154167
SE;Sudeste/Centro-Oeste;2025-04-11;45012.83620833
SE;Sudeste/Centro-Oeste;2025-04-12;42827.06975
SE;Sudeste/Centro-Oeste;2025-04-13;40400.13691667
SE;Sudeste/Centro-Oeste;2025-04-14;46186.83783333
SE;Sudeste/Centro-Oeste;2025-04-15;46095.1755
SE;Sudeste/Centro-Oeste;2025-04-16;45835.44991667
SE;Sudeste/Centro-Oeste;2025-04-17;45272.78845833
SE;Sudeste/Centro-Oeste;2025-04-18;40379.49491667
SE;Sudeste/Centro-Oeste;2025-04-19;40563.36558333
SE;Sudeste/Centro-Oeste;2025-04-20;37423.33633333
SE;Sudeste/Centro-Oeste;2025-04-21;38755.57283333
SE;Sudeste/Centro-Oeste;2025-04-22;42627.27170833
SE;Sudeste/Centro-Oeste;2025-04-23;43615.27054167
SE;Sudeste/Centro-Oeste;2025-04-24;45304.77795833
SE;Sudeste/Centro-Oeste;2025-04-25;46316.99791667
SE;Sudeste/Centro-Oeste;2025-04-26;42749.83366667
SE;Sudeste/Centro-Oeste;2025-04-27;39664.73845833
SE;Sudeste/Centro-Oeste;2025-04-28;46112.70725
SE;Sudeste/Centro-Oeste;2025-04-29;45316.10308333
SE;Sudeste/Centro-Oeste;2025-04-30;43767.0415
SE;Sudeste/Centro-Oeste;2025-05-01;39260.50120833
SE;Sudeste/Centro-Oeste;2025-05-02;40965.45766667
SE;Sudeste/Centro-Oeste;2025-05-03;38892.90241667
SE;Sudeste/Centro-Oeste;2025-05-04;36659.79220833
SE;Sudeste/Centro-Oeste;2025-05-05;42296.1825
SE;Sudeste/Centro-Oeste;2025-05-06;43523.02254167
SE;Sudeste/Centro-Oeste;2025-05-07;44369.300625
SE;Sudeste/Centro-Oeste;2025-05-08;44793.75525
SE;Sudeste/Centro-Oeste;2025-05-09;46114.91866667
SE;Sudeste/Centro-Oeste;2025-05-10;43340.58779167
SE;Sudeste/Centro-Oeste;2025-05-11;37634.59075
SE;Sudeste/Centro-Oeste;2025-05-12;42095.758375
SE;Sudeste/Centro-Oeste;2025-05-13;42805.527625
SE;Sudeste/Centro-Oeste;2025-05-14;42054.66558333
SE;Sudeste/Centro-Oeste;2025-05-15;42459.98904167
SE;Sudeste/Centro-Oeste;2025-05-16;42921.19383333
SE;Sudeste/Centro-Oeste;2025-05-17;40632.53891667
SE;Sudeste/Centro-Oeste;2025-05-18;37641.51725
SE;Sudeste/Centro-Oeste;2025-05-19;43674.58854167
SE;Sudeste/Centro-Oeste;2025-05-20;44395.49533333
SE;Sudeste/Centro-Oeste;2025-05-21;44729.528875
SE;Sudeste/Centro-Oeste;2025-05-22;44692.74208333
SE;Sudeste/Centro-Oeste;2025-05-23;44286.87695833
SE;Sudeste/Centro-Oeste;2025-05-24;40164.14704167
SE;Sudeste/Centro-Oeste;2025-05-25;36510.313
SE;Sudeste/Centro-Oeste;2025-05-26;42070.78854167
SE;Sudeste/Centro-Oeste;2025-05-27;43154.15933333
SE;Sudeste/Centro-Oeste;2025-05-28;43255.349375
SE;Sudeste/Centro-Oeste;2025-05-29;41524.10066667
SE;Sudeste/Centro-Oeste;2025-05-30;41642.29708333
SE;Sudeste/Centro-Oeste;2025-05-31;38984.54979167
SE;Sudeste/Centro-Oeste;2025-06-01;36067.29995833
SE;Sudeste/Centro-Oeste;2025-06-02;41937.34091667
SE;Sudeste/Centro-Oeste;2025-06-03;43692.55658333
SE;Sudeste/Centro-Oeste;2025-06-04;44160.42291667
SE;Sudeste/Centro-Oeste;2025-06-05;44661.5405
SE;Sudeste/Centro-Oeste;2025-06-06;44631.0585
SE;Sudeste/Centro-Oeste;2025-06-07;41515.36116667
SE;Sudeste/Centro-Oeste;2025-06-08;38129.9915
SE;Sudeste/Centro-Oeste;2025-06-09;43324.72208333
SE;Sudeste/Centro-Oeste;2025-06-10;43290.95075
SE;Sudeste/Centro-Oeste;2025-06-11;42202.64304167
SE;Sudeste/Centro-Oeste;2025-06-12;41212.13825
SE;Sudeste/Centro-Oeste;2025-06-13;40627.41325
SE;Sudeste/Centro-Oeste;2025-06-14;38458.80554167
SE;Sudeste/Centro-Oeste;2025-06-15;35887.06008333
SE;Sudeste/Centro-Oeste;2025-06-16;41334.69070833
SE;Sudeste/Centro-Oeste;2025-06-17;42026.39933333
SE;Sudeste/Centro-Oeste;2025-06-18;42322.42458333
SE;Sudeste/Centro-Oeste;2025-06-19;40020.98033333
SE;Sudeste/Centro-Oeste;2025-06-20;41220.95691667
SE;Sudeste/Centro-Oeste;2025-06-21;38661.64158333
SE;Sudeste/Centro-Oeste;2025-06-22;36264.75254167
SE;Sudeste/Centro-Oeste;2025-06-23;42963.69341667
SE;Sudeste/Centro-Oeste;2025-06-24;43314.25279167
SE;Sudeste/Centro-Oeste;2025-06-25;41131.04083333
SE;Sudeste/Centro-Oeste;2025-06-26;41932.38816667
SE;Sudeste/Centro-Oeste;2025-06-27;42865.12104167
SE;Sudeste/Centro-Oeste;2025-06-28;39850.40116667
SE;Sudeste/Centro-Oeste;2025-06-29;36293.480625
SE;Sudeste/Centro-Oeste;2025-06-30;41754.35858333
SE;Sudeste/Centro-Oeste;2025-07-01;41933.48616667
